ReferenceCodeProduct;ReferenceCodeCombination;Name;Category;Size;Color;HexaColor;Price;Weight;Quantity;Description;ShortDescription;Active;MetaKeyword;MetaDescription;MetaTitle
RSC14LM0601004;0014L040085;POLO KEIN SS GREEN TOSCA;RSCH,MALE,SHIRTS,2;L;TOSCA;#000000;130000;1;7;POLO KEIN SS GREEN TOSCA;POLO KEIN SS GREEN TOSCA;0;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH-MALE-SHIRTSPOLO-KEIN-SS-GREEN-TOSCA
RSC14LM0601004;0014L040086;POLO KEIN SS GREEN TOSCA;RSCH,MALE,SHIRTS,2;XL;TOSCA;#000000;130000;1;2;POLO KEIN SS GREEN TOSCA;POLO KEIN SS GREEN TOSCA;0;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH MALE SHIRTSPOLO KEIN SS GREEN TOSCA;RSCH-MALE-SHIRTSPOLO-KEIN-SS-GREEN-TOSCA
RSC14LM0601005;0014L040088;POLO CLARK SS DRK GREY;RSCH,MALE,SHIRTS,2;S;GREY;#000000;130000;1;5;POLO CLARK SS DRK GREY;POLO CLARK SS DRK GREY;0;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH-MALE-SHIRTSPOLO-CLARK-SS-DRK-GREY
RSC14LM0601005;0014L040089;POLO CLARK SS DRK GREY;RSCH,MALE,SHIRTS,2;M;GREY;#000000;130000;1;8;POLO CLARK SS DRK GREY;POLO CLARK SS DRK GREY;0;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH-MALE-SHIRTSPOLO-CLARK-SS-DRK-GREY
RSC14LM0601005;0014L040090;POLO CLARK SS DRK GREY;RSCH,MALE,SHIRTS,2;L;GREY;#000000;130000;1;6;POLO CLARK SS DRK GREY;POLO CLARK SS DRK GREY;0;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH-MALE-SHIRTSPOLO-CLARK-SS-DRK-GREY
RSC14LM0601005;0014L040091;POLO CLARK SS DRK GREY;RSCH,MALE,SHIRTS,2;XL;GREY;#000000;130000;1;1;POLO CLARK SS DRK GREY;POLO CLARK SS DRK GREY;0;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH MALE SHIRTSPOLO CLARK SS DRK GREY;RSCH-MALE-SHIRTSPOLO-CLARK-SS-DRK-GREY
RSC14LB0108001;0014L040059;INTEGRATION TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;S;WHITE;#000000;70000;1;1;INTEGRATION TS KIDS WHITE-NAVY BLUE;INTEGRATION TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSINTEGRATION-TS-KIDS-WHITE-NAVY-BLUE
RSC14LB0108001;0014L040060;INTEGRATION TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;M;WHITE;#000000;70000;1;2;INTEGRATION TS KIDS WHITE-NAVY BLUE;INTEGRATION TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSINTEGRATION-TS-KIDS-WHITE-NAVY-BLUE
RSC14LB0108001;0014L040061;INTEGRATION TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;L;WHITE;#000000;70000;1;2;INTEGRATION TS KIDS WHITE-NAVY BLUE;INTEGRATION TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSINTEGRATION-TS-KIDS-WHITE-NAVY-BLUE
RSC14LB0108001;0014L040062;INTEGRATION TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;XL;WHITE;#000000;70000;1;1;INTEGRATION TS KIDS WHITE-NAVY BLUE;INTEGRATION TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSINTEGRATION TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSINTEGRATION-TS-KIDS-WHITE-NAVY-BLUE
RSC14LB0108002;0014L040067;TERTIARY TS KIDS WHITE-NAVY BLUE;RSCH,BOY KID,T-SHIRTS,1;S;WHITE;#000000;70000;1;1;TERTIARY TS KIDS WHITE-NAVY BLUE;TERTIARY TS KIDS WHITE-NAVY BLUE;0;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH BOY KID TSHIRTSTERTIARY TS KIDS WHITENAVY BLUE;RSCH-BOY-KID-T-SHIRTSTERTIARY-TS-KIDS-WHITE-NAVY-BLUE
