CAL0136;18031140;Niion;Sling Bag;CALI MAGENTA;ALL SIZE;MAGENTA;#f049a3;299000;0.5;0;-;-;1
CAL0137;18031141;Niion;Sling Bag;CALI TOSCA;ALL SIZE;TOSCA;#2ed1a2;299000;0.5;0;-;-;1
CAL0138;18031142;Niion;Sling Bag;CALI RED;ALL SIZE;RED;#d12525;299000;0.5;0;-;-;1
DORA0139;18031143;Niion;Backpack Bag,Doraemon Edt.;ANIMAL DORAEMON EDT.;ALL SIZE;ANIMAL DORAEMON EDT.;#0059e8;299000;0.5;0;-;-;1
DORA0140;18031144;Niion;Notebook Case,Doraemon Edt.;NOTLET DORAEMON EDT.;ALL SIZE;NOTLET DORAEMON EDT.;#0059e8;299000;0.5;0;-;-;1
DORA0141;18031145;Niion;Backpack Bag,Doraemon Edt.;PUZZLE DORAEMON EDT.;ALL SIZE;PUZZLE DORAEMON EDT.;#0059e8;259000;0.5;0;-;-;1
DORA0142;18031146;Niion;Backpack Bag,Doraemon Edt.;GO PACK DORAEMON EDT.;ALL SIZE;GO PACK DORAEMON EDT.;#0059e8;269000;0.5;0;-;-;1
FX0143;18031147;Niion;Sling Bag,Pholychromatic Flux;HIP FX RED;ALL SIZE;RED;#d12525;269000;0.5;0;-;-;1
FX0144;18031148;Niion;Sling Bag,Pholychromatic Flux;HIP FX BLUE;ALL SIZE;BLUE;#0059e8;269000;0.5;0;-;-;1
FX0145;18031149;Niion;Sling Bag,Pholychromatic Flux;DUFFLE FX ;ALL SIZE;NONE;#000000;399000;0.5;0;-;-;1
FX0146;18031150;Niion;Backpack Bag,Pholychromatic Flux;MIN SAILOR FX ;ALL SIZE;NONE;#000000;299000;0.5;0;-;-;1
FX0147;18031151;Niion;Sling Bag,Pholychromatic Flux;CALI FX ;ALL SIZE;NONE;#000000;379000;0.5;0;-;-;1
FX0148;18031152;Niion;Outerware,Pholychromatic Flux;OUTER FX DARK GREY;ALL SIZE;DARK GREY;#555555;389000;0.5;0;-;-;1
FX0149;18031153;Niion;Outerware,Pholychromatic Flux;OUTER FX WHITE;ALL SIZE;WHITE;#ffffff;389000;0.5;0;-;-;1
FX0150;18031154;Niion;Outerware,Pholychromatic Flux;OUTER FX BLACK;ALL SIZE;BLACK;#000000;389000;0.5;0;-;-;1
FX0151;18031155;Niion;Outerware,Pholychromatic Flux;PONCHO FX BLACK;ALL SIZE;BLACK;#000000;379000;0.5;0;-;-;1
FX0152;18031156;Niion;Outerware,Pholychromatic Flux;PONCHO FX LIGHT GREY;ALL SIZE;LIGHT GREY;#cccccc;379000;0.5;0;-;-;1
FX0153;18031157;Niion;Outerware,Pholychromatic Flux;PONCHO FX RED;ALL SIZE;RED;#d12525;379000;0.5;0;-;-;1
