Name;CityName
Basa IV Balai Tapan;Kab Pesisir Selatan
Basarang;Kab Kapuas
Basidondo;Kab Toli-Toli
Baso;Kab Agam
Bassesangtempe;Kab Luwu Utara
Batahan;Kab Mandailing Natal
Batalaiworu;Kab Muna
Batam;Kota Batam
Batang ;Kab Jeneponto
Batang Alai Selatan;Kab Hulu Sungai Tengah
Batang Alai Tengah;Kab Hulu Sungai Tengah
Batang Alai Utara;Kab Hulu Sungai Tengah
Batang Anai;Kab Padang Pariaman
Batang Angkola;Kab Tapanuli Selatan
Batang Asai;Kab Sarolangun
Batang Batang;Kab Sumenep
Batang Bulu Sutam;Kab Padang Lawas
Batang Cenaku;Kab Indragiri Hulu
Batang Gansal;Kab Indragiri Hulu
Batang Gasan;Kab Padang Pariaman
BATANG HARI;Kab Lampung Timur
Batang Harileko;Kab Musi Banyuasin
Batang;Kab Batang
Batang Kapas;Kab Pesisir Selatan
Batang Kuis;Kab Deli Serdang
Batang Lubu Sutam;Kab Tapanuli Selatan
Batang Lupar;Kab Kapuas Hulu
Batang Merangin;Kab Kerinci
Batang Natal;Kab Mandailing Natal
Batang Onang;Kab Padang Lawas Utara
Batang Onang;Kab Tapanuli Selatan
Batang Serangan;Kab Langkat
Batang Toru;Kab Tapanuli Selatan
Batang Tuaka;Kab Indragiri Hilir
Batangan;Kab Pati
Batanghari Nuban;Kab Lampung Timur
Batauga;Kab Buton Utara
Batealit;Kab Jepara
Batee;Kab Pidie
Bathin II Babeko;Kab Bungo
Bati-Bati;Kab Tanah Laut
Batik Nau;Kab Bengkulu Utara
Batin XXIV;Kab Batang Hari
Batipuh;Kab Tanah Datar
Batipuh Selatan;Kab Tanah Datar
Batom;Kab Pegunungan Bintang
Batu Ampar ;Kab Kutai Timur
Batu Ampar ;Kab Tanah Laut
Batu Ampar;Kab Kubu Raya
Batu Ampar;Kota Batam
Batu Atas;Kab Buton Utara
Batu Benawa;Kab Hulu Sungai Tengah
Batu Brak;Kab Lampung Barat
Batu Datu ;Kab Kapuas Hulu
Batu Engau ;Kab Paser
Batu Hampar;Kab Rokan Hilir
Batu;Kota Batu
Batu Lanteh;Kab Sumbawa
Batu Layar;Kab Lombok Barat
Batu Licin;Kab Tanah Bumbu
Batu Mandi;Kab Balangan
Batu Marmar;Kab Pamekasan
Batu Putih ;Kab Kolaka Utara
Batu Putih ;Kab Timor Tengah Selatan
Batu Sangkar;Kab Tanah Datar
Batu Sopang ;Kab Paser
Batuan;Kab Sumenep
Batuceper ;Kota Tangerang
Batudaa;Kab Gorontalo
Batui;Kab Banggai
Batujajar;Kab Bandung Barat
Batujaya;Kab Karawang
Batukliang;Kab Lombok Tengah
Batukliang Utara;Kab Lombok Tengah
Batulappa;Kab Pinrang
Batununggal;Kota Bandung
Batuputih;Kab Sumenep
Batur;Kab Banjarnegara
Baturaden;Kab Banyumas
Baturaja Barat;Kab Ogan Komering Ulu
Baturaja;Kab Ogan Komering Ulu
Baturaja Timur;Kab Ogan Komering Ulu
Baturetno;Kab Wonogiri
Baturiti;Kab Tabanan
Batuwarno;Kab Wonogiri
Bau - Bau;Kota Bau-Bau
Baula;Kab Kolaka
Baureno;Kab Bojonegoro
Bawang ;Kab Banjarnegara
Bawang;Kab Batang
Bawen / Doplang;Kab Semarang
Bawolato;Kab Nias
Bayah;Kab Lebak
Bayan;Kab Lombok Barat
Bayan;Kab Purworejo
Bayang;Kab Pesisir Selatan
Bayang Utara;Kab Pesisir Selatan
Bayat;Kab Klaten
Bayongbong;Kab Garut
Bayung Lencir;Kab Musi Banyuasin
Bebandem ;Kab Karangasem
Beber;Kab Cirebon
Bebesen;Kab Aceh Tengah
Beduwai;Kab Sanggau
Bejen;Kab Temanggung
Beji ;Kab Pasuruan
Beji ;Kota Depok
Bekasi Barat ;Kota Bekasi
Bekasi;Kota Bekasi
Bekasi Selatan ;Kota Bekasi
Bekasi Timur;Kota Bekasi
Bekasi Utara;Kota Bekasi
Bekri;Kab Lampung Tengah
Belakang Padang;Kota Batam
Belalau;Kab Lampung Barat
Belang;Kab Minahasa Tenggara
Belawa;Kab Wajo
Belawang;Kab Barito Kuala
Belik;Kab Pemalang
Belimbing;Kab Melawi
Belinyu;Kab Bangka
Belitang ;Kab Ogan Komering Ulu Timur
Belitang ;Kab Sekadau
Belitang Hilir;Kab Sekadau
Belitang Hulu;Kab Sekadau
Belitang II;Kab Ogan Komering Ulu Timur
Belitang III;Kab Ogan Komering Ulu Timur
Belo;Kab Bima
Belopa;Kab Luwu Utara
Benai;Kab Kuantan Singingi
Benakat;Kab Muara Enim
Benda;Kota Tangerang
Bendahara;Kab Aceh Tamiang
Bendo;Kab Magetan
Bendosari;Kab Sukoharjo
Bendungan;Kab Trenggalek
Bener;Kab Purworejo
Bengalon ;Kab Kutai Timur
Bengkalis;Kab Bengkalis
Bengkayang;Kab Bengkayang
Bengkulu;Kota Bengkulu
Bengkunat;Kab Lampung Barat
Bengo;Kab Bone
Benjeng;Kab Gresik
Benowo;Kota Surabaya
Benteng;Kab Kepulauan Selayar
Bentian Besar;Kab Kutai Barat
Benua Kayong ;Kab Ketapang
Benua Lima;Kab Barito Timur
Benuki;Kab Mamberamo Raya
Beo;Kab Kepulauan Talaud
Beoga;Kab Puncak Jaya
Berampu;Kab Dairi
Berastagi;Kab Karo
Beraur;Kab Sorong
Berbah;Kab Sleman
Berbek;Kab Nganjuk
Bergas;Kab Semarang
Beringin;Kab Deli Serdang
Bermani Ilir;Kab Kepahiang
Bermani Ulu;Kab Rejang Lebong
Besitang;Kab Langkat
Besuk;Kab Probolinggo
Besuki ;Kab Situbondo
Besuki ;Kab Tulungagung
Betara;Kab Tanjung Jabung Barat
Betoambari;Kota Bau-Bau
Betung;Kab Banyuasin
Beutong;Kab Nagan Raya
Biak Barat;Kab Biak Numfor
Biak Kota;Kab Biak Numfor
Biak timur;Kab Biak Numfor
Biak Utara;Kab Biak Numfor
Biandoga;Kab Intan Jaya
Biandoga;Kab Paniai
Biaro;Kab Kepulauan Sangihe
Biau;Kab Buol
Bibida;Kab Paniai
Biboki Anleu;Kab Timor Tengah Utara
Biboki Selatan;Kab Timor Tengah Utara
Biboki Utara;Kab Timor Tengah Utara
Biduk Biduk;Kab Berau
Bies;Kab Aceh Tengah
Bilah Barat;Kab Labuhanbatu
Bilah Hilir;Kab Labuhanbatu
Bilah Hulu;Kab Labuhanbatu
Bima;Kota Bima
Binakal;Kab Bondowoso
Binamu;Kab Jeneponto
Binangun;Kab Blitar
Binangun;Kab Cilacap
Binjai ;Kota Binjai
Binjai Barat;Kota Binjai
Binjai Hulu ;Kab Sintang
Binjai;Kab Langkat
Binjai Kota;Kota Binjai
Binjai Selatan;Kota Binjai
Binjai Timur;Kota Binjai
Binjai Utara;Kota Binjai
Binong;Kab Subang
Binongko;Kab Wakatobi
Bintan Timur;Kab Bintan
Bintang Ara ;Kab Tabalong
Bintang;Kab Aceh Tengah
Bintauna;Kab Bolaang Mongondow
Bintauna;Kab Bolaang Mongondow Utara
Bintuni;Kab Teluk Bintuni
Binuang;Kab Polewali Mandar
Binuang;Kab Serang
Binuang;Kab tapin
Birem Bayeun;Kab Aceh Timur
Bireuen;Kab Bireuen
Biring Kanaya;Kota Makassar
Biringbulu;Kab Gowa
Biru-Biru;Kab Deli Serdang
Bissapu;Kab Bantaeng
Bituang;Kab Tana Toraja
Bitung Barat;Kota Bitung
Bitung;Kota Bitung
Bitung Selatan;Kota Bitung
Bitung Tengah;Kota Bitung
Bitung Timur;Kota Bitung
Bitung Utara;Kota Bitung
BKL Ulu Terawas;Kab Musi Rawas
Blado;Kab Batang
Blahbatuh;Kab Gianyar
Blambangan umpu;Kab Way Kanan
Blanakan;Kab Subang
Blang Jerango;Kab Gayo Lues
Blang Kejeren;Kab Gayo Lues
Blang Mangat;Kota Lhokseumawe
Blang Pegayon;Kab Gayo Lues
Blangpidie;Kab Aceh Barat Daya
Blimbing;Kota Malang
Blitar;Kab Blitar
Blora;Kab Blora
Bluluk;Kab Lamongan
Bluto;Kab Sumenep
Boalemo;Kab Banggai
Boawae;Kab Nagekeo
Bobotsari;Kab Purbalingga
Bodeh;Kab Pemalang
Bogoboida;Kab Paniai
Bogor Barat ;Kota Bogor
Bogor;Kota Bogor
Bogor Selatan ;Kota Bogor
Bogor Tengah;Kota Bogor
Bogor Timur ;Kota Bogor
Bogor Utara;Kota Bogor
Bogorejo;Kab Blora
Bohorok;Kab Langkat
Boja;Kab Kendal
Bojonegara ;Kab Serang
Bojonegoro;Kab Bojonegoro
Bojong ;Kab Pandeglang
Bojong ;Kab Pekalongan
Bojong ;Kab Purwakarta
Bojong ;Kab Tegal
Bojong Genteng;Kab SuKabumi
Bojong Soang;Kab Bandung
Bojongasih;Kab Tasikmalaya
Bojonggambir;Kab Tasikmalaya
Bojonggede;Kab Bogor
Bojongloa Kaler;Kota Bandung
Bojongloa Kidul;Kota Bandung
Bojongmanggu;Kab Bekasi
Bojongmanik;Kab Lebak
Bojongpicung;Kab Cianjur
Bojongsari;Kab Purbalingga
Bokan Kepulauan;Kab Banggai Kepulauan
Bokat;Kab Buol
Boking;Kab Timor Tengah Selatan
Bokondini;Kab Tolikara
Bola;Kab Sikka
Bola;Kab Wajo
Bolaang Itang Barat;Kab Bolaang Mongondow Utara
BOLAANG ITANG;Kab Bolaang Mongondow
Bolaang Itang Timur;Kab Bolaang Mongondow Utara
Bolaang;Kab Bolaang Mongondow
BOLAANG UKI;Kab Bolaang Mongondow
Bolakma;Kab Jayawijaya
Bolano Lambunu;Kab Parigi Moutong
Boliyohuto;Kab Gorontalo
Bolo;Kab Bima
Bonang;Kab Demak
Bondoala Sampara;Kab Konawe
Bondowoso;Kab Bondowoso
Bone Panta;Kab Bone Bolango
Bone-Bone;Kab Luwu Utara
Bonegunu;Kab Muna
Bonehau;Kab Mamuju
Bongan;Kab Kutai Barat
Bongas;Kab Indramayu
Bonggakaradeng;Kab Tana Toraja
Bonggo;Kab Sarmi
Bongomeme;Kab Gorontalo
Bonjol;Kab Pasaman
Bonorowo;Kab Kebumen
Bontang Barat ;Kota Bontang
Bontang;Kota Bontang
Bontang Selatan ;Kota Bontang
Bontang Utara;Kota Bontang
Bonti;Kab Sanggau
Bonto Bahari;Kab Bulukumba
Bontoala;Kota Makassar
Bontocani;Kab Bone
Bontoharu;Kab Kepulauan Selayar
Bontomanai;Kab Kepulauan Selayar
Bontomarannu;Kab Gowa
Bontomatene;Kab Kepulauan Selayar
Bontonompo;Kab Gowa
Bontoramba;Kab Jeneponto
Bontosikuyu;Kab Kepulauan Selayar
Bontotiro;Kab Bulukumba
Bor Bor;Kab Toba Samosir
Borme;Kab Pegunungan Bintang
